id,name
2983,Robert Bass
7615,Marc Benioff
7311,Martin & Olivier Bouygues
9502,Chung Mong-Koo
5952,Charles Dolan
3961,Ray Lee Hunt
4265,Liu Yonghao
8779,John Overdeck
5235,Ajay Piramal
8321,"Enrique Razon, Jr."
3927,Sumner Redstone
3425,Paolo & Gianfelice Mario Rocca
4298,Reinhold Schmieding
3254,David Siegel
2194,Andrei Skoch
6376,Yu Yong
6178,Sam Zell
9188,Zhou Jianping
8178,Bajaj Brothers
4876,Garrett Camp
2899,Bubba Cathy
4398,Dan Cathy
5514,Fu Liquan
2287,Philip & Cristina Green
1460,Mikhail Gutseriev
7690,"Rupert Johnson, Jr."
5659,Travis Kalanick
6750,Andrei Kozitsyn
1404,Horst Paulmann
5453,Julio Ponce Lerou
6030,Trevor Rees-Jones
4749,Mark Scheinberg
9681,Jeffrey Skoll
3634,Murat Ulker
2858,Daniel Ziff
9256,Dirk Ziff
6635,Robert Ziff
4451,Juergen Blickle
6191,Bernard Broermann
7593,Clive Calder
4278,Stanley Druckenmiller
9082,Ted Lerner
3732,Li Shuirong
7442,Lim Kok Thay
9884,Niels Peter Louis-Hansen
2633,Fredrik Lundberg
7664,Gwendolyn Sontheim Meyer
9527,J. Christopher Reyes
2316,Jude Reyes
7447,Alexandra Schoerghuber
1582,Sheldon Solow
8093,Lucio Tan
5232,Majid Al Futtaim
4901,Andrej Babis
2108,Dona Bertarelli
8895,Cai Kui
6338,Bidzina Ivanishvili
9301,"Jeremy Jacobs, Sr."
6079,Chris Larsen
1306,Patrick Lee
5042,Liang Wengen
7196,Denis O'Brien
2973,Kapil & Rahul Bhatia
6345,Jean-Pierre Cayard
5944,Chey Tae-Won
4658,Fang Wei
1538,Andrei Guriev
1781,Bertil Hult
8956,Ji Changqun
6861,"Paul Tudor Jones, Ii."
3931,Robert Miller
3574,Sergei Popov
6979,Juan Roig
2099,John Sall
3992,Leonard Stern
6366,Ye Chenghai
1606,Anthony Bamford
5992,Chu Mang Yee
5309,Juan Carlos Escotet
7085,Miguel Fluxa Rossello
5919,Andrew Forrest
2394,Paul Gauselmann
5101,Tamara Gustavson
4665,Micky Jagtiani
3129,Johan Johannson
3260,Richard Li
8656,John Morris
9326,Theo Mueller
3531,Akio Nitori
4208,Wolfgang Reimann
6906,Matthias Reimann-Andersen
8483,Stefan Reimann-Andersen
6412,Renate Reimann-Haas
2029,Robert Smith
8238,Russ Weiner
3419,Jeronimo Arango
6942,Rahul Bajaj
2365,Rainer Blickle
9012,Rocco Commisso
5650,Giuseppe De'Longhi
9750,Tilman Fertitta
2658,Nathan Kirsh
7475,Terrence Pegula
5909,Robert Pera
4481,Gary Rollins
8125,Randall Rollins
6729,Alejandro Santo Domingo
9889,Andres Santo Domingo
1875,Pham Nhat Vuong
9634,Roger Wang
2856,Stephen Bisciotti
2151,"Austen Cargill, Ii."
5330,"James Cargill, Ii."
9918,Archie Aldis Emmerson
9629,Antti Herlin
2147,Sumet Jiaravanon
4235,Lars Larsen
7033,Marianne Liebmann
7044,Bobby Murphy
5451,Igor Olenicoff
7668,"Walter Scott, Jr."
2340,"Clemmie Spangler, Jr."
6708,Wang Yusuo
4537,Carl Bennet
4824,Arthur Blank
3722,Jaran Chiaravanont
6670,Jack & Laura Dangermond
8826,Fan Hongwei
5053,John Gandel
5467,James Jannard
6620,Montri Jiaravanont
5943,Samuel Tak Lee
6231,Pawan Munjal
4467,Axel Oberwelland
9185,James Packer
2730,Isaac Perlmutter
1607,"H. Ross Perot, Sr."
6901,Michael Pieper
3918,Thomas Pritzker
8296,"Julian Robertson, Jr."
9786,Renzo Rosso
1754,Hussain Sajwani
9960,Yasumitsu Shigeta
6617,Evan Spiegel
1942,Wang Xing
9311,Kelcy Warren
4686,Ben Ashkenazy
8195,Ursula Bechtolsheimer-Kipp
2360,Otto Philipp Braun
3706,Che Jianxing
3290,Dagmar Dolby
7245,Traudl Engelhorn
8728,Dan Friedkin
4717,Sergei Galitsky
4482,Huang Rulun
8131,Erman Ilicak
6418,Ronald Lauder
1170,Michel Leclercq
5454,Michael Moritz
6122,Issad Rebrab
7261,Naguib Sawiris
2344,Richard Schulze
1831,B.R. Shetty
1285,Jeff Sutton
4259,Tony Tan Caktiong
6059,Yu Huijiao
1156,Zhang Xuexin
4053,Zhang Yiming
3863,Suhail Bahwan
1628,Rick Caruso
3691,Tom Gores
9331,Peter Hargreaves
6219,Daniela Herz
6792,Guenter Herz
2723,Masatoshi Ito
5978,Barry Lam
4571,Sudhir & Samir Mehta
3166,Ravi Pillai
5279,Stewart And Lynda Resnick
1141,Jerry Speyer
1407,Harry Stine
3790,George Ty
8718,Steven Udvar-Hazy
9675,Christoph Zeller
6865,Nathan Blecharczyk
5564,Hubert Burda
6954,Chen Dongsheng
7677,Brian Chesky
1824,Gustaf Douglas
8831,Joe Gebbia
6517,Peter Gilgan
9045,Jeff Greene
6441,Jiang Weiping
8030,Dominika & Sebastian Kulczyk
6292,Li Wa
6333,Robert Mcnair
4841,Masahiro Miki
1253,Katharina Otto-Bernstein
9911,Ira Rennert
9363,Henry Samueli
3787,Zeng Fangqin
4326,Zhang Jin
2495,Nick Caporella
5388,Mark Cuban
6299,Ken Fisher
4418,Jaime Gilinski Bacal
6947,Andreas Halvorsen
9093,H. Fisk Johnson
7781,Imogene Powers Johnson
1120,S. Curtis Johnson
3181,Helen Johnson-Leipold
4012,Winifred Johnson-Marquart
5636,Viatcheslav Kantor
8553,Samvel Karapetyan
2173,Marc Ladreit De Lacharriere
8733,Angela Leong
7105,Li Gaiteng
3538,Mangal Prabhat Lodha
1808,Michael Milken
4031,Yuri Milner
8102,Andreas Struengmann
6659,Thomas Struengmann
3922,Tse Ping
7121,Yitzhak Tshuva
5600,Samuel Yin
9660,Michael Ashley
1904,Cao Longxiang
6290,Jeffery Hildebrand
1340,Jiang Rensheng
4898,"Edward Johnson, Iv."
2205,Elizabeth Johnson
7505,Peter Kellogg
6985,Lim Sung-Ki
1529,Friedhelm Loh
9453,Kiran Mazumdar-Shaw
3216,Idan Ofer
9090,Karsanbhai Patel
4316,Qin Yinglin
1431,Qiu Guanghe
8712,Sarath Ratanavadi
2705,Rodger Riney
7433,Steven Spielberg
5421,Gabriele Volkmann
9445,Arne Wilhelmsen
7441,Xu Jingren
3659,Zhang Li
7524,Zhang Xin
7597,Anita Zucker
2038,Carlo Benetton
6541,Gilberto Benetton
6244,Giuliana Benetton
4989,Luciano Benetton
8707,Chen Bang
7808,Kuldip Singh & Gurbachan Singh Dhingra
3416,Abilio Dos Santos Diniz
9883,Bernard Ecclestone
6632,Judy Faulkner
6964,Gao Tianguo
8930,Joshua Harris
1516,Arthur Irving
5644,Baba Kalyani
4179,Dmitry Kamenshchik
2217,Douglas Leone
6425,Edwin Leong
6024,Arnon Milchan
3471,Maren Otto
5372,Anthony Pritzker
3005,Jay Robert (J.B.) Pritzker
7516,Mitchell Rales
7172,Kjell Inge Rokke
4181,"Bernard Saul, Ii."
6559,Donald Sterling
7818,Tahir
5329,Chairul Tanjung
2812,Clemens Toennies
9448,Somphote Ahunai
2037,Igor Altushkin
2910,Riley Bechtel
9152,"Stephen Bechtel, Jr."
9545,Mike Cannon-Brookes
1051,Rafael Del Pino Y Calvo-Sotelo
6142,Antonio Del Valle Ruiz
4171,Scott Farquhar
4583,Lindsay Fox
6828,Jimmy Haslam
7290,Heidi Horten
6727,Min Kao
5553,Melissa Ma
6712,Rudolf Maag
9582,Alexander Ponomarenko
3325,Carlos Rodriguez-Pastor
4752,Shashi & Ravi Ruia
1356,Teddy Sagi
3428,Shaul Shani
9614,Alexander Skorobogatko
2410,Sun Guangxin
9716,Rita Tong Liu
5168,Juan-Miguel Villar Mir
3333,Steve Wynn
1903,Anil Agarwal
5606,Abdulla Al Futtaim
4502,John Arnold
8160,Sid Bass
4294,Alain Bouchard
4525,John Brown
1539,Vanich Chaiyawan
4719,Chen Lip Keong
9536,Charles S. Cohen
1676,Ashwin Dani
8151,Rakesh Gangwal
1409,Reid Hoffman
5205,"Amos Hostetter, Jr."
5853,Zarakh Iliev
2908,Ji Qi
3582,Kenneth Langone
8938,Li Sze Lim
5374,George Lindemann
9854,Liu Zhongtian
5325,Luo Liguo
1495,Mary Alice Dorrance Malone
7089,"Henry Nicholas, Iii."
9141,God Nisanov
1413,Pat Stryker
5463,Alexander Svetakov
8754,Hans Peter Wild
7883,Yvonne Bauer
7543,Patrizio Bertelli
5687,Neil Bluhm
8068,Andrew & Peggy Cherng
2346,Scott Cook
7927,Leon G. Cooperman
5369,John Paul Dejoria
5707,Martin Ebner
2820,Walter Faria
4542,Sameer Gehlaut
7348,Tom Golisano
6050,Otto Happel
9084,Jiang Bin
3750,Karel Komarek
9672,Kurt Krieger
6072,Timur Kulibaev
