id,Sector,Company,Worth(BUSD)
6244,Fashion & Retail,"fashion retail, investments",3.5
4179,Service,airport,3.5
3416,Fashion & Retail,retail,3.5
5644,Construction & Engineering,engineering,3.5
6541,Fashion & Retail,"fashion retail, investments",3.5
4989,Fashion & Retail,"fashion retail, investments",3.5
8707,Healthcare,hospitals,3.5
7808,Manufacturing,paints,3.5
2038,Fashion & Retail,"fashion retail, investments",3.5
9883,Sports,Formula One,3.5
6632,Technology,health IT,3.5
6964,Real Estate,"real estate, finance",3.5
8930,Finance and Investments,private equity,3.5
1516,Energy,oil,3.5
5553,Technology,internet search,3.4
3333,Gambling & Casinos,"casinos, hotels",3.4
5168,Construction & Engineering,construction,3.4
2410,Diversified,diversified,3.4
9614,Logistics,"real estate, airport",3.4
3428,Telecom,telecom,3.4
1356,Gambling & Casinos,gambling software,3.4
4752,Diversified,diversified,3.4
3325,Finance and Investments,finance,3.4
9582,Logistics,"real estate, airport",3.4
6712,Healthcare,medical devices,3.4
9716,Real Estate,real estate,3.4
6727,Technology,navigation equipment,3.4
9545,Technology,software,3.4
2037,Metals & Mining,metals,3.4
2910,Construction & Engineering,"engineering, construction",3.4
9448,Energy,energy,3.4
9152,Construction & Engineering,"engineering, construction",3.4
7290,Fashion & Retail,retail,3.4
1051,Construction & Engineering,construction,3.4
4171,Technology,software,3.4
4583,Logistics,"logistics, real estate",3.4
6828,Fashion & Retail,"gas stations, retail",3.4
6142,Manufacturing,chemicals,3.4
1495,Food and Beverage,Campbell Soup,3.3
3582,Finance and Investments,investments,3.3
5374,Finance and Investments,investments,3.3
9854,Manufacturing,aluminum products,3.3
5325,Manufacturing,chemicals,3.3
1413,Healthcare,medical equipment,3.3
7089,Technology,semiconductors,3.3
9141,Real Estate,real estate,3.3
5463,Finance and Investments,real estate,3.3
8754,Food and Beverage,flavorings,3.3
5853,Real Estate,real estate,3.3
2908,Real Estate,"hotels, motels",3.3
8938,Real Estate,real estate,3.3
5205,Media & Entertainment,cable television,3.3
4525,Healthcare,medical equipment,3.3
1409,Technology,LinkedIn,3.3
1903,Metals & Mining,"mining, metals",3.3
5606,Automotive,"auto dealers, investments",3.3
4502,Finance and Investments,hedge funds,3.3
4294,Fashion & Retail,retail,3.3
8160,Energy,"oil, investments",3.3
1539,Finance and Investments,"insurance, beverages",3.3
4719,Gambling & Casinos,"casinos, property, energy",3.3
9536,Real Estate,real estate,3.3
1676,Manufacturing,paints,3.3
8151,Service,airline,3.3
7058,Media & Entertainment,"TV network, investments",3.2
1625,Energy,energy,3.2
6579,Healthcare,pharmaceuticals,3.2
6814,Manufacturing,prosthetics,3.2
9707,Service,logistics,3.2
8132,Finance and Investments,hedge funds,3.2
7582,Fashion & Retail,luxury goods,3.2
8496,Finance and Investments,private equity,3.2
8769,Finance and Investments,finance,3.2
2524,Finance and Investments,banking,3.2
5380,Fashion & Retail,retail,3.2
8796,Energy,"oil & gas, investments",3.2
9571,Automotive,U-Haul,3.2
4632,Finance and Investments,investments,3.2
1855,Finance and Investments,finance,3.2
9447,Technology,drones,3.2
9878,Finance and Investments,hedge funds,3.2
6094,Automotive,tires,3.2
8984,Technology,eBay,3.2
7512,Diversified,"banking, shipping",3.2
5707,Finance and Investments,investments,3.2
5383,Finance and Investments,banking,3.2
7883,Media & Entertainment,media,3.2
7543,Fashion & Retail,luxury goods,3.2
8068,Food and Beverage,restaurants,3.2
2346,Technology,software,3.2
7927,Finance and Investments,hedge funds,3.2
5369,Fashion & Retail,"hair products, tequila",3.2
5687,Real Estate,real estate,3.2
2820,Food and Beverage,beer,3.2
7348,Service,payroll services,3.2
6050,Construction & Engineering,engineering,3.2
9084,Technology,acoustic components,3.2
3750,Gambling & Casinos,lotteries,3.2
9672,Fashion & Retail,furniture retailing,3.2
6072,Finance and Investments,banking,3.2
4542,Finance and Investments,finance,3.2
4558,Manufacturing,kitchen appliances,3.1
4691,Diversified,conglomerate,3.1
8501,Fashion & Retail,retail,3.1
8654,Diversified,airlines,3.1
9712,Diversified,diversified,3.1
5307,Technology,software,3.1
7655,Food and Beverage,Food & Beverage,3.1
3592,Diversified,"construction equipment, media",3.1
8257,Real Estate,"television, real estate",3.1
4910,Technology,healthcare services,3.1
4453,Gambling & Casinos,gambling,3.1
9888,Food and Beverage,cheese,3.1
4775,Metals & Mining,mining,3.1
4472,Logistics,package delivery,3.1
4608,Real Estate,real estate,3.1
9037,Energy,"oil, real estate",3.1
3796,Fashion & Retail,fashion retail,3.1
6369,Healthcare,pharmaceuticals,3.1
7149,Technology,Twitter,3.1
8783,Media & Entertainment,online media,3.1
3988,Real Estate,real estate,3.1
1005,Real Estate,real estate,3.1
5872,Real Estate,real estate,3.1
7523,Diversified,pharmacies,3.1
6836,Real Estate,real estate,3.1
4007,Real Estate,real estate,3.0
3554,Healthcare,hospitals,3.0
1067,Service,"hotels, investments",3.0
1053,Diversified,diversified,3.0
6027,Construction & Engineering,"construction, pipes, banking",3.0
4001,Fashion & Retail,online retail,3.0
9424,Food and Beverage,Food & Beverage,3.0
1958,Telecom,electronics,3.0
9155,Food and Beverage,meat processing,3.0
1673,Real Estate,real estate,3.0
8434,Food and Beverage,AriZona Beverages,3.0
2075,Real Estate,real estate,3.0
6045,Gambling & Casinos,casinos,3.0
1520,Technology,online payment service,3.0
6754,Real Estate,real estate,3.0
4740,Sports,New Orleans Saints,3.0
8621,Food and Beverage,tobacco,3.0
3440,Finance and Investments,financial services,3.0
5245,Automotive,"automobiles, batteries",3.0
3342,Finance and Investments,Investment Management,3.0
9695,Healthcare,pharmaceuticals,3.0
3816,Healthcare,pharmaceuticals,3.0
3522,Energy,oil & gas,3.0
3475,Healthcare,pharmaceuticals,3.0
4400,Technology,venture capital,3.0
6444,Technology,mobile payments,3.0
8315,Manufacturing,lasers,3.0
6482,Technology,"software, investments",3.0
2462,Finance and Investments,Hedge funds,3.0
1222,Logistics,trucking,3.0
4667,Finance and Investments,investments,3.0
3411,Technology,business software,2.9
8674,Service,travel,2.9
7341,Finance and Investments,"chemicals, investments",2.9
3727,Fashion & Retail,drugstores,2.9
5131,Food and Beverage,bakeries,2.9
5277,Finance and Investments,"finance, diversified",2.9
2622,Diversified,petrochemicals,2.9
3697,Technology,Facebook,2.9
7274,Technology,electronics components,2.9
1991,Finance and Investments,hedge funds,2.9
8023,Manufacturing,blinds,2.9
2833,Healthcare,medical equipment,2.9
3376,Diversified,"real estate, construction",2.9
3275,Finance and Investments,finance,2.9
6201,Finance and Investments,electronic trading,2.9
7793,Real Estate,real estate,2.9
3646,Technology,electronics components,2.9
6378,Technology,online retail,2.9
7048,Diversified,consumer goods,2.9
5521,Real Estate,real estate,2.9
4758,Finance and Investments,banking,2.9
6562,Finance and Investments,"construction, investments",2.9
9690,Food and Beverage,fishing,2.9
8480,Healthcare,pharmaceuticals,2.9
3764,Technology,electronics,2.9
2049,Diversified,consumer goods,2.9
3859,Fashion & Retail,sports apparel,2.9
6639,Metals & Mining,"copper, education",2.9
5313,Food and Beverage,beverages,2.9
4962,Service,employment agency,2.9
2452,Diversified,consumer goods,2.9
6671,Diversified,consumer goods,2.9
7490,Food and Beverage,poultry processing,2.9
8464,Service,consulting,2.9
5880,Healthcare,pharmaceuticals,2.9
8637,Healthcare,pharmaceuticals,2.9
5202,Diversified,consumer goods,2.9
9294,Diversified,"online games, investments",2.8
9710,Finance and Investments,investments,2.8
7674,Finance and Investments,"hotels, investments",2.8
7989,Fashion & Retail,Hermes,2.8
6132,Real Estate,real estate,2.8
6022,Finance and Investments,private equity,2.8
4956,Food and Beverage,chewing gum,2.8
7882,Media & Entertainment,TV broadcasting,2.8
7955,Logistics,shipping,2.8
7502,Finance and Investments,finance,2.8
3833,Real Estate,"real estate, media",2.8
3062,Diversified,art collection,2.8
7708,Diversified,diversified,2.8
4753,Telecom,telecom,2.8
5934,Service,staffing & recruiting,2.8
2900,Fashion & Retail,Gap,2.8
3038,Manufacturing,petrochemicals,2.8
4062,Food and Beverage,"soft drinks, diversified",2.8
5351,Finance and Investments,private equity,2.8
7155,Finance and Investments,private equity,2.8
9371,Fashion & Retail,sportswear,2.8
5126,Food and Beverage,Campbell Soup,2.8
9667,Fashion & Retail,Gap,2.8
2750,Diversified,conglomerate,2.8
3276,Healthcare,medical products,2.8
9989,Real Estate,real estate,2.8
4284,Finance and Investments,investments,2.8
4072,Healthcare,biotech,2.8
6779,Media & Entertainment,"media, real estate",2.7
4214,Food and Beverage,Starbucks,2.7
3587,Diversified,"casinos, real estate",2.7
2060,Service,security services,2.7
3509,Diversified,diversified,2.7
2385,Technology,web hosting,2.7
7354,Diversified,diversified,2.7
5297,Healthcare,dental implants,2.7
8775,Automotive,U-Haul,2.7
3130,Fashion & Retail,Retail,2.7
9344,Fashion & Retail,fashion investments,2.7
6785,Finance and Investments,finance,2.7
9147,Fashion & Retail,nutrition and wellness products,2.7
6291,Fashion & Retail,fashion,2.7
7470,Real Estate,"real estate, plush toys",2.7
7023,Media & Entertainment,TV shows,2.7
1699,Real Estate,real estate services,2.7
7476,Telecom,telecom,2.7
4135,Diversified,diversified,2.7
5541,Fashion & Retail,fashion retail,2.7
4763,Construction & Engineering,"scaffolding, cement mixers",2.7
2294,Technology,online services,2.7
2918,Diversified,diversified,2.7
4083,Diversified,"forestry, mining",2.7
5412,Diversified,"hospitals, investments",2.7
7941,Diversified,"art, electronics",2.7
6180,Real Estate,shopping centers,2.7
3821,Food and Beverage,Campbell Soup,2.7
5233,Energy,pipelines,2.7
4339,Diversified,"airports, investments",2.7
7926,Manufacturing,manufacturing,2.7
5088,Manufacturing,furniture,2.7
3438,Finance and Investments,auto loans,2.7
3137,Media & Entertainment,Netflix,2.7
1218,Real Estate,real estate,2.7
7985,Automotive,automobiles,2.7
5095,Sports,Indianapolis Colts,2.7
2476,Finance and Investments,insurance,2.6
2702,Real Estate,real estate,2.6
9130,Metals & Mining,steel production,2.6
6829,Media & Entertainment,Bloomberg LP,2.6
8492,Healthcare,hospitals,2.6
7059,Technology,Facebook,2.6
6766,Diversified,diversified,2.6
3317,Diversified,"aluminum, diversified",2.6
6506,Technology,software,2.6
9890,Technology,touch screens,2.6
3520,Finance and Investments,investment banking,2.6
8777,Service,printing,2.6
9224,Fashion & Retail,shoes,2.6
6005,Energy,oil trading,2.6
7610,Metals & Mining,"mining, banking, hotels",2.6
2605,Fashion & Retail,Lululemon,2.6
9194,Technology,Yahoo,2.6
9798,Metals & Mining,"mining, commodities",2.6
2396,Construction & Engineering,construction,2.6
3811,Technology,electronics components,2.6
1963,Real Estate,real estate,2.6
8042,Healthcare,laboratory services,2.6
5108,Logistics,logistics,2.6
6853,Finance and Investments,hedge funds,2.6
8840,Finance and Investments,investments,2.6
5565,Diversified,diversified,2.6
9436,Technology,online gaming,2.6
8003,Finance and Investments,private equity,2.6
1115,Construction & Engineering,"cement, diversified",2.6
3576,Telecom,mobile phones,2.6
9481,Finance and Investments,investments,2.6
7658,Media & Entertainment,"media, investments",2.6
2402,Finance and Investments,investments,2.6
3195,Healthcare,pharmaceuticals,2.6
9784,Healthcare,hospitals,2.6
5469,Service,self storage,2.6
8292,Energy,energy generation,2.6
1152,Real Estate,real estate,2.6
2085,Healthcare,pharmaceuticals,2.6
8889,Real Estate,real estate,2.6
5317,Diversified,"palm oil, property",2.6
5452,Manufacturing,flooring,2.5
5788,Manufacturing,manufacturing,2.5
7953,Real Estate,real estate,2.5
5385,Real Estate,real estate,2.5
