id,name,age,gender,country,image,Sector,Company,Worth(BUSD),accuracy
6673,Elon Musk,46.0,Male,South Africa,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159,Automotive,Tesla Motors,19.9,
6610,Hinduja Family,,Male,,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165,Diversified,diversified,19.5,
7653,Tadashi Yanai,69.0,Male,Japan,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501,Fashion & Retail,fashion retail,19.5,1.0
7971,Vladimir Lisin,62.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012,Metals & Mining,"steel, transport",19.1,
4890,Laurene Powell Jobs,54.0,Female,United States,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333,Philanthropy/NGO,"Apple, Disney",18.8,0.88
8874,Azim Premji,72.0,Male,India,https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592,Technology,software services,18.8,
5610,Alexey Mordashov,52.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667,Metals & Mining,"steel, investments",18.7,
4732,Lee Kun-Hee,76.0,Male,South Korea,https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737,Diversified,Samsung,18.6,0.79
4008,Lakshmi Mittal,68.0,Male,India,https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359,Metals & Mining,steel,18.5,
1339,Wang Wei,48.0,Male,,https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834,Service,package delivery,18.2,
7510,Leonid Mikhelson,62.0,Male,,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522,Energy,"gas, chemicals",18.0,
1035,Charoen Sirivadhanabhakdi,74.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,Food and Beverage,"drinks, real estate",17.9,
3873,Pallonji Mistry,89.0,Male,Ireland,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,Construction & Engineering,construction,17.8,
2607,Ray Dalio,68.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478,Finance and Investments,hedge funds,17.7,0.99
4337,Takemitsu Takizaki,73.0,Male,Japan,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860,Manufacturing,sensors,17.5,
8708,William Ding,46.0,Male,China,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063,Technology,online games,17.4,
8683,R. Budi Hartono,77.0,Male,,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754,Finance and Investments,"banking, tobacco",17.4,
5284,Gina Rinehart,64.0,Female,Australia,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995,Metals & Mining,mining,17.4,
6596,German Larrea Mota Velasco,64.0,Male,Mexico,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,Metals & Mining,mining,17.3,
9921,Carl Icahn,82.0,Male,United States,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744,Finance and Investments,investments,16.8,
