SearchName,Nationality
Krit_Ratanarak,Thailand
Helena_Revoredo,Argentina
Howard_Schultz,U.S.
Lawrence_Stroll,Canada
Andrew_Tan,China
Tsai_Cheng-Da,
Frank_Vandersloot,U.S.
Sandro_Veronesi,Italy
Juan_Abello,Spain
Bang_Jun-Hyuk,
Francesco_Gaetano_Caltagirone,Italy
Chung_Eui-Sun,
Fong_Yun_Wah,
Phillip_Frost,
Lutz_Mario_Helmig,
B._Wayne_Hughes,
Daniel_Kretinsky,
Lam_Kong,
Lau_Cho_Kun,
"Stephen_Mandel,_Jr.",
Gilles_Martin,
Daniel_Mate,Spain
Jorge_Moll_Filho,
Maria_Helena_Moraes_Scripilliti,Brazil
Sean_Parker,U.S.
Patrick_Ryan,
Shen_Yuxing,
Gil_Shwed,Israel
Glen_Taylor,
Hanni_Toosbuy_Kasprzak,Denmark
Torbjorn_Tornqvist,Sweden
Jerry_Yang,Taiwan
Ramon_Ang,
Lee_Bass,
Bert_Beveridge,
George_Bishop,
Aloysio_De_Andrade_Faria,
Kenneth_Feld,
Luca_Garavoglia,Italy
Stein_Erik_Hagen,Norway
Chang-Woo_Han,
Lawrence_Ho,
Mustafa_Rahmi_Koc,Turkey
Jane_Lauder,U.S.
Aerin_Lauder_Zinterhofer,U.S.
Maritsa_Lazari,Cyprus
Bernard_Lewis,England
Vincent_Lo,
Roberto_Irineu_Marinho,Brazil
C._Dean_Metropoulos,Greece
Aristotelis_Mistakidis,Greece
Arturo_Moreno,
Yoshiko_Mori,
Adam_Neumann,Israel
Or_Wai_Sheun,
Horst_Julius_Pudwill,
Klaus-Peter_Schulenberg,
Mark_Stevens,
Sze_Man_Bok,China
Sarik_Tara,Turkey
Peter_Thiel,Germany
Denise_York,U.S.
George_Argyros,
John_Arrillaga,U.S.
Charles_Bronfman,Canada
Peter_Buck,
Chen_Jinxia,
Chu_Lam_Yiu,
Jose_Luis_Cutrale,
Bergit_Douglas,
Alfredo_Egydio_Arruda_Villela_Filho,
Marcel_Erni,
Abhay_Firodia,
Geng_Jianming,
Michael_Hintze,China
Igor_Kesaev,Russia
Hermann_Langness,
Li_Zhongchu,China
Alexander_Mamut,
"Drayton_Mclane,_Jr.",
Patrice_Motsepe,South Africa
Alfred_Oetker,
Christian_Oetker,
Julia_Oetker,
Daniel_Pritzker,U.S.
John_Pritzker,U.S.
Luigi_Rovati,
Ferit_Faik_Sahenk,Turkey
Rosely_Schweizer,
Eric_Smidt,
Peter_Unger,
Sunny_Varkey,India
Michael_Ying,
Gustavo_Denegri,Italy
Murali_Divi,
Bernard_Fraisse,France
Harsh_Goenka,India
David_Gottesman,
